,Estimate,Std. Error,t value,Pr(t),outcome
sexMen,-0.194006379,0.303244515,-0.639768797,0.527920583,rsnRelax
employmentemployed part time,-0.14820377,0.334623084,-0.442897629,0.66150291,rsnRelax
employmentother,0.198877516,0.504824551,0.393953733,0.696827703,rsnRelax
employmentunemployed,-0.004287558,0.472677697,-0.009070785,0.992831903,rsnRelax
edhigh school grad,-0.865491093,0.458564039,-1.88739417,0.070318773,rsnRelax
edless than high school,-0.373576237,0.506379269,-0.73773999,0.4672791,rsnRelax
edsome col/assoc dg,0.171301499,0.362864807,0.472080774,0.640807316,rsnRelax
raceBlack,0.645613848,1.127062336,0.572828873,0.5716817,rsnRelax
racehispanic,0.204225883,1.135100216,0.179918813,0.858611231,rsnRelax
racemore than one,-0.294291134,1.173840758,-0.250707885,0.804010624,rsnRelax
raceNative Am/AK/pac isl,0.103996216,1.264643507,0.082233622,0.935090753,rsnRelax
raceNHW,0.639729071,1.023714326,0.624909757,0.537476525,rsnRelax
age22-29,0.176556121,0.309848501,0.569814347,0.573694671,rsnRelax
age30-49,-0.523338231,0.423253002,-1.236466672,0.227338712,rsnRelax
age50+,-1.398550897,0.673499464,-2.076543443,0.047866671,rsnRelax
hasInsurance,0.649069027,0.420446722,1.543760463,0.134731809,rsnRelax
marStat,0.112301937,0.361876936,0.310331845,0.758782644,rsnRelax
metro,1.046909145,0.491451665,2.130238269,0.042779015,rsnRelax
incomeF20k-49k,0.50738236,0.40647655,1.248245095,0.223065574,rsnRelax
incomeF50k-74k,0.776769224,0.489279588,1.587577417,0.124470224,rsnRelax
incomeF75k+,1.046061653,0.506523774,2.065177799,0.049010242,rsnRelax
healthFair/Poor,-0.414407925,0.594239621,-0.697375117,0.491757521,rsnRelax
healthGood,0.028077582,0.567291251,0.049494122,0.960903786,rsnRelax
healthVery Good,0.260527713,0.55105952,0.472775996,0.640317791,rsnRelax
(Intercept),-21.15273575,1.646179339,-12.84959375,9.07E-13,rsnExp
sexMen,1.051978536,0.654276714,1.607849574,0.119945606,rsnExp
employmentemployed part time,0.801128749,0.667837999,1.199585453,0.241118201,rsnExp
employmentother,-1.970355065,1.081043197,-1.822642306,0.079878509,rsnExp
employmentunemployed,0.285792969,0.92669316,0.308400861,0.76023476,rsnExp
edhigh school grad,-1.256388322,1.168631077,-1.075094054,0.29220866,rsnExp
edless than high school,0.1785716,0.974176348,0.18330521,0.855980539,rsnExp
edsome col/assoc dg,-0.54220636,0.708412489,-0.765382272,0.450936328,rsnExp
raceBlack,-0.236872096,0.786768564,-0.301069599,0.765756039,rsnExp
racehispanic,17.6417326,0.898378227,19.63731095,4.07E-17,rsnExp
racemore than one,17.83371001,1.176964006,15.15229855,2.03E-14,rsnExp
raceNative Am/AK/pac isl,1.353444553,1.197794325,1.129947375,0.268815291,rsnExp
raceNHW,17.51024882,0.752054693,23.28321195,6.12E-19,rsnExp
age22-29,-0.413928927,0.650194952,-0.636622794,0.529936125,rsnExp
age30-49,-18.78118342,0.729590152,-25.74210105,5.00E-20,rsnExp
age50+,-18.88321797,0.736569065,-25.63672419,5.54E-20,rsnExp
hasInsurance,0.948239222,0.903645859,1.049348274,0.303674506,rsnExp
marStat,0.426638426,0.735261088,0.580254324,0.566738518,rsnExp
metro,0.870475811,1.071654899,0.812272507,0.424010389,rsnExp
incomeF20k-49k,-1.551363983,0.775119167,-2.001452228,0.055882139,rsnExp
incomeF50k-74k,-1.563038343,0.826967652,-1.890084018,0.069944085,rsnExp
incomeF75k+,-1.516002717,0.752401708,-2.014884737,0.054366698,rsnExp
healthFair/Poor,-1.140500536,1.03769936,-1.099066435,0.281812438,rsnExp
healthGood,-1.442597897,0.743062884,-1.941421013,0.0631185,rsnExp
healthVery Good,-1.418680215,0.724605318,-1.957866138,0.06105874,rsnExp
(Intercept),-2.664180606,1.813364662,-1.469191863,0.15377766,rsnSleep
sexMen,0.501415531,0.419099813,1.196410772,0.242332837,rsnSleep
employmentemployed part time,0.09864517,0.662996596,0.148786842,0.882869855,rsnSleep
employmentother,-1.244377521,0.661955861,-1.879849692,0.071379006,rsnSleep
employmentunemployed,-0.403793606,0.844176037,-0.478328676,0.636413958,rsnSleep
edhigh school grad,-0.889897939,0.958136757,-0.928779668,0.361546393,rsnSleep
edless than high school,-0.719724806,0.900278303,-0.79944702,0.431274723,rsnSleep
edsome col/assoc dg,-0.882348085,0.626324943,-1.40877047,0.170750582,rsnSleep
raceBlack,0.982775942,0.931736086,1.054779306,0.301229819,rsnSleep
racehispanic,-1.584222181,1.06704729,-1.484678511,0.149653017,rsnSleep
racemore than one,-2.407677901,1.327374996,-1.813864137,0.081256955,rsnSleep
raceNative Am/AK/pac isl,-0.154662396,1.247787264,-0.123949331,0.902308678,rsnSleep
raceNHW,-0.483603368,0.854878227,-0.565698543,0.576448757,rsnSleep
age22-29,-0.440036515,0.699142563,-0.629394545,0.534582663,rsnSleep
age30-49,-1.595506777,0.854509973,-1.867159925,0.07319359,rsnSleep
age50+,-1.35407587,1.156595337,-1.170742979,0.252320967,rsnSleep
hasInsurance,-0.447502538,0.555486733,-0.805604367,0.427777719,rsnSleep
marStat,0.588549282,0.4660299,1.262900261,0.217834052,rsnSleep
metro,-0.103290977,0.379056172,-0.272495173,0.787393789,rsnSleep
incomeF20k-49k,1.11843289,0.726695278,1.539067232,0.135870868,rsnSleep
incomeF50k-74k,0.535301289,0.860924852,0.621774697,0.539504396,rsnSleep
incomeF75k+,0.691985427,0.679137734,1.018917654,0.317630166,rsnSleep
healthFair/Poor,-0.268150199,0.707950601,-0.378769646,0.707934403,rsnSleep
healthGood,-0.267932846,0.684955931,-0.391168006,0.698860321,rsnSleep
healthVery Good,-0.562813933,0.701465722,-0.802339894,0.429629563,rsnSleep
